id,name,group,Dis2Center
0,0,0,0.01103126842955825
1,JamesJohnson,1,0.02123000810617062
2,LuisScola,1,0.038250337784922595
3,DeMarreCarroll,0,0.029053540114203653
4,CoryJoseph,1,0.029299754549172333
5,KyleLowry,3,0.0647339177642922
6,BismackBiyombo,1,0.01914252566075343
7,DeMarDeRozan,3,0.06707180662131589
8,JonasValanciunas,1,0.014317324114447751
9,BrunoCaboclo,0,0.01103126842955825
10,TerrenceRoss,4,0.032551480133257774
11,PatrickPatterson,0,0.03504949371128304
12,DelonWright,0,0.009335447028079659
13,LucasNogueira,0,0.009847505542886738
14,MarvinWilliams,4,0.03299388423396336
15,JeremyLamb,4,0.025838063649286185
16,NicolasBatum,4,0.04102855942668316
17,JeremyLin,4,0.033594429693444776
18,AaronHarrison,0,0.010850758758193229
19,KembaWalker,3,0.04803352956457645
20,PJHairston,0,0.028127944076975758
21,BrianRoberts,0,0.011217388549218893
22,TroyDaniels,0,0.012470048278965487
23,CodyZeller,1,0.025529744451882944
24,FrankKaminsky,1,0.039704607505430395
25,TylerHansbrough,0,0.008681238700699555
26,SpencerHawes,0,0.019327184597927923
27,ChrisBosh,3,0.05944603081769809
28,DwyaneWade,3,0.042727059844601824
29,Amar'eStoudemire,0,0.012869172452915712
30,GoranDragic,1,0.031099179317083333
31,TylerJohnson,1,0.020813181578753934
32,LuolDeng,1,0.031200748008812697
33,ChrisAndersen,0,0.010456746644204316
34,GeraldGreen,4,0.028779675578977523
35,BenoUdrih,0,0.01103126842955825
36,JustiseWinslow,1,0.01970149431060847
37,HassanWhiteside,2,0.043539718175556935
38,UdonisHaslem,0,0.01060033353274243
39,RaymondFelton,1,0.03479093250923805
40,CharlieVillanueva,0,0.03002274221555304
41,Jose JuanBarea,4,0.03357337362458578
42,DwightPowell,1,0.022893186729499432
43,DeronWilliams,4,0.04687846059260924
44,JaValeMcGee,1,0.018869546463226815
45,JohnJenkins,0,0.007568000091007045
46,JeremyEvans,0,0.006230350141323877
47,WesleyMatthews,4,0.050335534103783414
48,ChandlerParsons,1,0.03318310451061771
49,ZazaPachulia,1,0.03758982640535044
50,DevinHarris,1,0.028939561510439454
51,DirkNowitzki,4,0.0776950415930918
52,AaronBrooks,0,0.031195754240937002
53,DougMcDermott,4,0.024030087677426037
54,BobbyPortis,0,0.022866097485491378
55,KirkHinrich,0,0.00951573026199036
56,PauGasol,3,0.07819525095136783
57,TonySnell,0,0.0209066914760532
58,JimmyButler,2,0.05002906740240438
59,TajGibson,1,0.03289287198684228
60,CameronBairstow,0,0.008070417695121892
61,NikolaMirotic,1,0.038590147908845795
62,E'TwaunMoore,0,0.017280008388496127
63,DerrickRose,3,0.03131242530941782
64,JoakimNoah,0,0.026665622099356637
65,KevinSeraphin,0,0.024406925037030788
66,LangstonGalloway,4,0.020798521125510283
67,JoseCalderon,4,0.04423891950923675
68,ArronAfflalo,4,0.04732268592589732
69,KristapsPorzingis,3,0.045174774431715616
70,CarmeloAnthony,3,0.0780378290325187
71,RobinLopez,2,0.08107394576413249
72,KyleO'Quinn,0,0.020315279940148166
73,JerianGrant,0,0.02497199253559324
74,SashaVujacic,0,0.008067610119715832
75,DerrickWilliams,1,0.026020871563555346
76,LanceThomas,1,0.0341603063426174
77,DrewGooden,0,0.01087846147273272
78,KrisHumphries,0,0.0375520133553211
79,MarcinGortat,3,0.06013766035568702
80,JaredDudley,4,0.036775982373662086
81,RamonSessions,1,0.03628802538069041
82,DeJuanBlair,0,0.01103126842955825
83,GarrettTemple,1,0.029616683815711448
84,JohnWall,3,0.07507636267427019
85,GaryNeal,0,0.01103126842955825
86,OttoPorter,4,0.026110718729727925
87,JarellEddie,0,0.010286926186262795
88,KellyOubre,0,0.01675318752583454
89,ChanningFrye,0,0.029659546437312844
90,JasonSmith,0,0.040484024417076866
91,NikolaVucevic,2,0.09102717883458872
92,TobiasHarris,2,0.040940522470998504
93,AndrewNicholson,1,0.038750260486635976
94,EvanFournier,4,0.036635194052566024
95,DewayneDedmon,0,0.018193770985557797
96,VictorOladipo,3,0.04217759776115632
97,ShabazzNapier,0,0.02715522866929672
98,ElfridPayton,3,0.03583762289347173
99,AaronGordon,1,0.016272571907466896
100,MarioHezonja,0,0.014922738774886337
101,MettaWorld Peace,0,0.010454077642385417
102,BrandonBass,1,0.0209087676202234
103,LouWilliams,4,0.03429836464836688
104,NickYoung,0,0.027477975892084873
105,RoyHibbert,1,0.022638813662010978
106,RobertSacre,0,0.00814600447855659
107,RyanKelly,0,0.010978938915844848
108,JordanClarkson,3,0.03397301171554411
109,JuliusRandle,1,0.03866170778268723
110,AnthonyBrown,0,0.009291285392923496
111,D'AngeloRussell,4,0.03287887236634412
112,LarryNance Jr.,0,0.03038227414378914
113,MarceloHuertas,0,0.010121179018204361
114,CarlLandry,0,0.016553948253044275
115,IshSmith,1,0.028321657105024132
116,KendallMarshall,0,0.0073083954842813655
117,HollisThompson,4,0.035593288213754806
118,NerlensNoel,1,0.03827437354330284
119,IsaiahCanaan,4,0.03840477672380052
120,RobertCovington,4,0.03415859024365088
121,NikStauskas,0,0.02504538910569262
122,JeramiGrant,1,0.0270947118206735
123,JaKarrSampson,1,0.017917463134215158
124,TJMcConnell,0,0.030906083496198944
125,JahlilOkafor,2,0.02498659099547967
126,RichaunHolmes,1,0.022779750241092026
127,AveryBradley,4,0.04534838047280571
128,IsaiahThomas,3,0.04576519164294272
129,JaredSullinger,1,0.0407811575164108
130,JonasJerebko,0,0.011363558179979381
131,EvanTurner,4,0.040956563523030454
132,JamesYoung,0,0.009806880028029631
133,MarcusSmart,0,0.017527581701174785
134,KellyOlynyk,1,0.025801703417944966
135,DavidLee,1,0.011639376460382714
136,TylerZeller,0,0.018963101385019224
137,AmirJohnson,1,0.033856757463160254
138,JaeCrowder,1,0.042018099700870844
139,ShaneLarkin,1,0.025212857933836232
140,JarrettJack,4,0.03842391241985975
141,JoeJohnson,4,0.07028480763801145
142,AndreaBargnani,0,0.01103126842955825
143,SergeyKarasev,0,0.008713743228396137
144,BrookLopez,2,0.07281439680811574
145,DonaldSloan,0,0.017961903373467824
146,WayneEllington,0,0.032482271842144736
147,MarkelBrown,0,0.00889618097713464
148,ThaddeusYoung,2,0.07257797954443229
149,WillieReed,1,0.024385085279977056
150,ThomasRobinson,1,0.02024311960591987
151,BojanBogdanovic,1,0.02314466755358481
152,ShaunLivingston,4,0.040045745319504375
153,AndreIguodala,1,0.03264393009863571
154,AndrewBogut,1,0.02536355650377029
155,JasonThompson,0,0.007338431047096913
156,BrandonRush,0,0.017857544903435576
157,MarreeseSpeights,0,0.02937372489032177
158,StephenCurry,3,0.0931156715343958
159,KlayThompson,4,0.040211689897651746
160,HarrisonBarnes,1,0.026468875684518906
161,FestusEzeli,1,0.01945962225401526
162,DraymondGreen,3,0.05473516053999748
163,IanClark,0,0.030034869490608698
164,James MichaelMcAdoo,0,0.007469965201158477
165,MikeMiller,0,0.01409042665655382
166,JameerNelson,4,0.03282379834914488
167,RandyFoye,4,0.03249871859791514
168,DaniloGallinari,3,0.042899772732815845
169,JJHickson,1,0.01764125211831381
170,DarrellArthur,4,0.038343587530025175
171,KennethFaried,2,0.057520621406311395
172,WillBarton,3,0.04681510706317833
173,KostasPapanikolaou,0,0.01103126842955825
174,JoffreyLauvergne,1,0.017191612761816414
175,GaryHarris,1,0.030475043021355064
176,JusufNurkic,0,0.00711155344754108
177,NikolaJokic,1,0.020490372262143338
178,CJMiles,4,0.05177699392443847
179,JoeYoung,0,0.008403934108562236
180,RodneyStuckey,4,0.03492786337306762
181,GeorgeHill,4,0.03049295822601521
182,LavoyAllen,1,0.022943254028788843
183,ChaseBudinger,0,0.024763855311423548
184,MontaEllis,3,0.0377695385762239
185,PaulGeorge,3,0.06925139344941134
186,JordanHill,1,0.03730438367244067
187,IanMahinmi,1,0.039225847525632844
188,MylesTurner,0,0.02166286385014773
189,GlennRobinson,0,0.012545582413514979
190,SolomonHill,0,0.011533964795524631
191,AndreDrummond,2,0.05623749830033264
192,ReggieJackson,3,0.04774701352096213
193,StanleyJohnson,4,0.030466480746937863
194,KentaviousCaldwell-Pope,4,0.03793656819030303
195,DarrunHilliard,0,0.008225398660047373
196,BrandonJennings,0,0.006031824169987038
197,AronBaynes,1,0.019981976400102807
198,MarcusMorris,4,0.04051067695521001
199,SteveBlake,0,0.012975290302601503
200,ErsanIlyasova,4,0.040960249145819465
201,ReggieBullock,0,0.010656776769428576
202,AnthonyTolliver,0,0.020942800313859308
203,JoelAnthony,0,0.00987846431121851
204,TimDuncan,1,0.0423630457770956
205,ManuGinobili,4,0.024087263350497587
206,TonyParker,4,0.04757598522061818
207,DavidWest,1,0.033583035150883164
208,BorisDiaw,1,0.024767395199066337
209,MattBonner,0,0.009968110294672382
210,LaMarcusAldridge,1,0.05203263359425515
211,DannyGreen,0,0.025514442880281183
212,PattyMills,0,0.035394538025580076
213,KawhiLeonard,1,0.04388313344093507
214,JonathonSimmons,1,0.024106065854856796
215,KyleAnderson,0,0.015636754854829103
216,BobanMarjanovic,0,0.01603978375430288
217,JasonTerry,0,0.024296288057369206
218,DwightHoward,2,0.056585386352375554
219,TrevorAriza,4,0.04226213019812956
220,CoreyBrewer,0,0.028545676844738598
221,JamesHarden,3,0.08314708703201729
222,TyLawson,0,0.02624513814792496
223,PatrickBeverley,0,0.024699137847696284
224,MarcusThornton,4,0.023188535100089887
225,DonatasMotiejunas,0,0.021011218636247712
226,TerrenceJones,1,0.04028530062250668
227,KJMcDaniels,0,0.008501630438013896
228,ClintCapela,1,0.043411239757395484
229,MontrezlHarrell,0,0.009173997387509448
230,SamDekker,0,0.01103126842955825
231,DerrickFavors,3,0.0503770376761982
232,GordonHayward,4,0.038803397369470874
233,TrevorBooker,1,0.02326439846648329
234,TiborPleiss,0,0.008404281538366238
235,ElijahMillsap,0,0.01103126842955825
236,ChrisJohnson,0,0.009589864099512464
237,JeffWithey,1,0.019726344778569212
238,TreyBurke,4,0.045057238770263686
239,RaulNeto,0,0.023275003607694588
240,RodneyHood,4,0.03966267050503425
241,JoeIngles,0,0.021082594410981054
242,TreyLyles,0,0.017421006153790705
243,VinceCarter,0,0.014198868605875369
244,ZachRandolph,2,0.052887738975192555
245,MattBarnes,1,0.03304491235285575
246,TonyAllen,1,0.020921057676930293
247,RyanHollins,0,0.01103126842955825
248,MikeConley,4,0.04017268404018594
249,JeffGreen,1,0.03179545467023825
250,MarcGasol,2,0.11973787007237593
251,CourtneyLee,4,0.028713553402296844
252,MarioChalmers,0,0.01103126842955825
253,JaMychalGreen,1,0.026420371053202562
254,JordanAdams,0,0.010523944853813697
255,TyusJones,0,0.011742098831227513
256,GorguiDieng,1,0.028924274562158295
257,ZachLaVine,3,0.03586717064784747
258,RickyRubio,4,0.0327884901090349
259,TayshaunPrince,0,0.02551875055723478
260,ShabazzMuhammad,1,0.038854912905888564
261,KevinGarnett,0,0.027752481098476674
262,AndrewWiggins,2,0.06441995888769114
263,KevinMartin,4,0.03366990345255215
264,AndreMiller,0,0.008363347769291143
265,Karl-AnthonyTowns,2,0.04236725624029032
266,AdreianPayne,0,0.012894610011901772
267,NemanjaBjelica,0,0.030664270932404123
268,O.J.Mayo,0,0.025095320771607043
269,MichaelCarter-Williams,1,0.043452768888115965
270,ChrisCopeland,0,0.01103126842955825
271,TylerEnnis,0,0.012459142629518017
272,JabariParker,1,0.0340499295731541
273,GregMonroe,2,0.0681893218546525
274,MilesPlumlee,0,0.01151435654681166
275,JerrydBayless,4,0.026672136549081925
276,RashadVaughn,0,0.009466201677877841
277,KhrisMiddleton,4,0.04600705901247044
278,JohnHenson,1,0.018898808935944884
279,GiannisAntetokounmpo,2,0.06806493249422228
