id,name,group,Dis2Center
0,0,1,0.010448674968431413
1,JamesJohnson,0,0.016545748343199107
2,LuisScola,0,0.039444963180564854
3,DeMarreCarroll,1,0.029481739348648887
4,CoryJoseph,0,0.024868232915487606
5,KyleLowry,2,0.062830583957216
6,BismackBiyombo,0,0.016795927122144103
7,DeMarDeRozan,2,0.0699521170766988
8,JonasValanciunas,0,0.017724200494982172
9,BrunoCaboclo,1,0.010448674968431413
10,TerrenceRoss,4,0.033575617667249834
11,PatrickPatterson,1,0.03421998644597144
12,DelonWright,1,0.008842171255083556
13,LucasNogueira,1,0.009963785849142584
14,MarvinWilliams,1,0.03308145880465582
15,JeremyLamb,4,0.025039196900651206
16,NicolasBatum,4,0.04006811585426372
17,JeremyLin,4,0.034140527984829756
18,AaronHarrison,1,0.010243010417989104
19,KembaWalker,2,0.040944063419156046
20,PJHairston,1,0.029161177877269163
21,BrianRoberts,1,0.010928495080277361
22,TroyDaniels,1,0.012179739979071203
23,CodyZeller,0,0.029559550308757513
24,FrankKaminsky,0,0.03659486492904459
25,TylerHansbrough,1,0.00855948109258648
26,SpencerHawes,1,0.019611135481341208
27,ChrisBosh,2,0.060873330013646955
28,DwyaneWade,5,0.04431737221952447
29,Amar'eStoudemire,1,0.01334182443231387
30,GoranDragic,0,0.03315794890360558
31,TylerJohnson,0,0.01729788825418607
32,LuolDeng,0,0.0342198802787184
33,ChrisAndersen,1,0.009837666488351339
34,GeraldGreen,4,0.030578476213090053
35,BenoUdrih,1,0.010448674968431413
36,JustiseWinslow,0,0.018520134864975155
37,HassanWhiteside,5,0.025765563014558783
38,UdonisHaslem,1,0.010068659806429011
39,RaymondFelton,4,0.03385837677453609
40,CharlieVillanueva,0,0.026562109963754653
41,Jose JuanBarea,4,0.034095025991183685
42,DwightPowell,0,0.027761179937419958
43,DeronWilliams,4,0.043834245142887814
44,JaValeMcGee,0,0.015999273268749042
45,JohnJenkins,1,0.007370672096501759
46,JeremyEvans,1,0.006319594389860246
47,WesleyMatthews,4,0.05032266140242049
48,ChandlerParsons,0,0.039462324188813354
49,ZazaPachulia,5,0.02217929803840284
50,DevinHarris,0,0.02511975232657715
51,DirkNowitzki,4,0.07640430246788789
52,AaronBrooks,0,0.029212778090336237
53,DougMcDermott,4,0.025609053738579513
54,BobbyPortis,1,0.022956699515999986
55,KirkHinrich,1,0.009446183224195989
56,PauGasol,2,0.07444439702516148
57,TonySnell,1,0.0226704572068268
58,JimmyButler,5,0.045078191821519495
59,TajGibson,5,0.0328937851111133
60,CameronBairstow,1,0.00769165445126617
61,NikolaMirotic,0,0.03531843307524478
62,E'TwaunMoore,1,0.01765796740463099
63,DerrickRose,5,0.03431670975672699
64,JoakimNoah,0,0.022641824058332115
65,KevinSeraphin,1,0.02497862562227277
66,LangstonGalloway,0,0.020708177618782787
67,JoseCalderon,4,0.043391226939778725
68,ArronAfflalo,4,0.04515237208781558
69,KristapsPorzingis,4,0.04493836638306936
70,CarmeloAnthony,2,0.07758407364235127
71,RobinLopez,3,0.07148931353527886
72,KyleO'Quinn,1,0.020094985956020647
73,JerianGrant,0,0.025273427156381416
74,SashaVujacic,1,0.007403494744539035
75,DerrickWilliams,0,0.028645074538690838
76,LanceThomas,0,0.031034385558390044
77,DrewGooden,1,0.009801281821279687
78,KrisHumphries,1,0.035781027766776885
79,MarcinGortat,5,0.05605083284521167
80,JaredDudley,4,0.034898471368978896
81,RamonSessions,5,0.03012652955972219
82,DeJuanBlair,1,0.010448674968431413
83,GarrettTemple,0,0.025247063516754396
84,JohnWall,2,0.07028586757042198
85,GaryNeal,1,0.010448674968431413
86,OttoPorter,4,0.025432905408103203
87,JarellEddie,1,0.009450201103684493
88,KellyOubre,1,0.017603898323636017
89,ChanningFrye,1,0.03004256979105602
90,JasonSmith,1,0.039448695293006375
91,NikolaVucevic,3,0.06887031770779903
92,TobiasHarris,5,0.041692134586245856
93,AndrewNicholson,0,0.03603280388992331
94,EvanFournier,4,0.03828734665062784
95,DewayneDedmon,1,0.018674825419938288
96,VictorOladipo,2,0.04221542975374667
97,ShabazzNapier,1,0.023867386072800208
98,ElfridPayton,5,0.023951104580245658
99,AaronGordon,0,0.01583738988973819
100,MarioHezonja,1,0.01455307652108324
101,MettaWorld Peace,1,0.01022742291811452
102,BrandonBass,0,0.021402704496607673
103,LouWilliams,4,0.03592447963190111
104,NickYoung,1,0.029298849294861335
105,RoyHibbert,0,0.01795650666833588
106,RobertSacre,1,0.007952057560101358
107,RyanKelly,1,0.01132738117466728
108,JordanClarkson,2,0.039674481846054294
109,JuliusRandle,5,0.019707230797919577
110,AnthonyBrown,1,0.008804991722435943
111,D'AngeloRussell,4,0.032912223465585894
112,LarryNance Jr.,1,0.029785605656492395
113,MarceloHuertas,1,0.010368522706417428
114,CarlLandry,1,0.016541185500484612
115,IshSmith,0,0.03132773758078548
116,KendallMarshall,1,0.006538993095918813
117,HollisThompson,4,0.03528039178006755
118,NerlensNoel,5,0.020169195345362923
119,IsaiahCanaan,4,0.03938350407875475
120,RobertCovington,4,0.036356092431754396
121,NikStauskas,1,0.026179417739978728
122,JeramiGrant,0,0.03144865558233816
123,JaKarrSampson,0,0.01454726837743263
124,TJMcConnell,1,0.029267941353617127
125,JahlilOkafor,3,0.022908507596776272
126,RichaunHolmes,0,0.022160032693213958
127,AveryBradley,4,0.04357012611836325
128,IsaiahThomas,2,0.04389426437599643
129,JaredSullinger,0,0.04022475976018039
130,JonasJerebko,1,0.01218470392479783
131,EvanTurner,4,0.03992913744341463
132,JamesYoung,1,0.009410223327649967
133,MarcusSmart,1,0.018000179283384064
134,KellyOlynyk,0,0.026536779142678484
135,DavidLee,0,0.015259739356504131
136,TylerZeller,1,0.019448141501141384
137,AmirJohnson,0,0.03836954330092088
138,JaeCrowder,4,0.04332568580602408
139,ShaneLarkin,0,0.022105030347750843
140,JarrettJack,4,0.03849719309402344
141,JoeJohnson,4,0.06860923767797607
142,AndreaBargnani,1,0.010448674968431413
143,SergeyKarasev,1,0.008250842798462386
144,BrookLopez,3,0.049698974758268046
145,DonaldSloan,1,0.01846764229094727
146,WayneEllington,1,0.03337931826334095
147,MarkelBrown,1,0.008518505776605694
148,ThaddeusYoung,3,0.05788318276138082
149,WillieReed,0,0.021844748885613097
150,ThomasRobinson,0,0.01861920868036313
151,BojanBogdanovic,0,0.021896715464132178
152,ShaunLivingston,4,0.040564691247640096
153,AndreIguodala,0,0.029852757008156688
154,AndrewBogut,0,0.030417714135055875
155,JasonThompson,1,0.007279989365179118
156,BrandonRush,1,0.017927293439076383
157,MarreeseSpeights,1,0.028686266870926472
158,StephenCurry,2,0.09553054937422159
159,KlayThompson,4,0.040476431464540816
160,HarrisonBarnes,0,0.02229246505998779
161,FestusEzeli,0,0.024606761227531266
162,DraymondGreen,5,0.04581250854849141
163,IanClark,1,0.027673453937297438
164,James MichaelMcAdoo,1,0.007856433658680143
165,MikeMiller,1,0.012691733656626318
166,JameerNelson,4,0.0318804521096899
167,RandyFoye,0,0.03377202307040293
168,DaniloGallinari,2,0.04510938941206746
169,JJHickson,0,0.014363467816725588
170,DarrellArthur,4,0.03716340063617058
171,KennethFaried,5,0.04073033625131434
172,WillBarton,2,0.04852098881801626
173,KostasPapanikolaou,1,0.010448674968431413
174,JoffreyLauvergne,0,0.01399574164469338
175,GaryHarris,0,0.029594171846353733
176,JusufNurkic,1,0.007362319790150862
177,NikolaJokic,0,0.026344969010859587
178,CJMiles,4,0.05750522747656905
179,JoeYoung,1,0.007833795470369125
180,RodneyStuckey,0,0.03487092356822129
181,GeorgeHill,4,0.028960007109522085
182,LavoyAllen,0,0.026550367314955713
183,ChaseBudinger,0,0.02254122323518109
184,MontaEllis,2,0.04461369814802158
185,PaulGeorge,2,0.054392344352381106
186,JordanHill,0,0.040838068630937724
187,IanMahinmi,5,0.02269587712995678
188,MylesTurner,1,0.021616143262111125
189,GlennRobinson,1,0.013263544480398374
190,SolomonHill,1,0.011883665156180242
191,AndreDrummond,3,0.06762962775735594
192,ReggieJackson,2,0.050243041621187444
193,StanleyJohnson,0,0.029809717491649273
194,KentaviousCaldwell-Pope,4,0.035261218177560665
195,DarrunHilliard,1,0.0076407879263884855
196,BrandonJennings,1,0.005951081179758752
197,AronBaynes,0,0.01750234589553337
198,MarcusMorris,4,0.04054794039142061
199,SteveBlake,1,0.013351103903000188
200,ErsanIlyasova,0,0.03822536212547122
201,ReggieBullock,1,0.01013207481814535
202,AnthonyTolliver,1,0.022092077984763092
203,JoelAnthony,1,0.009358322678320702
204,TimDuncan,0,0.040107014883587755
205,ManuGinobili,4,0.02597110400895801
206,TonyParker,4,0.04619347142854536
207,DavidWest,0,0.031816150206564794
208,BorisDiaw,0,0.023577709876155335
209,MattBonner,1,0.009286849715588038
210,LaMarcusAldridge,0,0.05461650277700135
211,DannyGreen,1,0.02734307398172933
212,PattyMills,1,0.03252509635894736
213,KawhiLeonard,4,0.038940329330614636
214,JonathonSimmons,0,0.018536583231250528
215,KyleAnderson,1,0.015488703929130883
216,BobanMarjanovic,1,0.016773060115492903
217,JasonTerry,1,0.026400123287388784
218,DwightHoward,5,0.038462371765761394
219,TrevorAriza,4,0.04288091902348119
220,CoreyBrewer,0,0.026467438238093846
221,JamesHarden,2,0.08026130018494665
222,TyLawson,1,0.026860865860451198
223,PatrickBeverley,1,0.026520157028012758
224,MarcusThornton,4,0.02462685157334903
225,DonatasMotiejunas,1,0.02114126964809049
226,TerrenceJones,5,0.032358683988844436
227,KJMcDaniels,1,0.008045766305639296
228,ClintCapela,5,0.029844362397399966
229,MontrezlHarrell,1,0.009421750055239191
230,SamDekker,1,0.010448674968431413
231,DerrickFavors,5,0.05026292868232768
232,GordonHayward,4,0.038346307914336186
