Unnamed: 0,Player,ID,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
31,Andre Drummond,203083,3.6,6,,13.2,27.5,1.5,,12.4,,23.3,12.6
5,Russell Westbrook,201566,12.5,23.3,35.4,,9.3,6.9,2.3,1.9,1,3,4.4
55,Thaddeus Young,201152,8.4,16.1,2.1,18.1,15.9,9.3,,15.9,1.2,8.8,3.8
63,Hassan Whiteside,202355,2.1,4,,20.8,21.9,2,,18.1,,20.5,10.3
1,Stephen Curry,201939,10,20.1,26.2,0.7,,9.1,4.7,6,14.2,1.6,7.3
48,Draymond Green,203110,5,18.5,5,12.6,8.7,19.7,1.3,9.7,2.3,7.1,10.1
26,Jimmy Butler,202710,12.3,12.1,31.7,0.9,5.7,10.6,5.5,9.2,4.9,2.7,4.4
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
19,Karl-Anthony Towns,1626157,6.6,7.3,,24.8,17.4,11.1,,8,5.6,11.5,7.3
29,Giannis Antetokounmpo,203507,15.5,20.4,10,2.5,8.1,16.5,2.5,10.9,1.1,6,6.5
,,,8.12 ,13.32 ,11.04 ,10.44 ,14.83 ,9.29 ,1.63 ,10.97 ,3.14 ,9.86 ,7.14 
22,Anthony Davis,203076,8.7,8.1,,24.7,18.4,13,1,7.5,6.5,6.4,5.5
3,LeBron James,2544,19.1,19.5,21.6,3.6,10.6,6.7,1.9,5.7,2.1,3.6,5.8
46,Zach LaVine,203897,8.2,21.5,29.1,,,14.1,10.7,1.9,7.3,1.4,5.4
81,Dwight Howard,2730,,6.3,,9.3,30.5,,,22.2,,14.8,15.9
10,DeMarcus Cousins,202326,11.1,12.6,1.2,14.8,19.4,16.4,2.5,5.2,2.5,7,7.2
38,Greg Monroe,202328,5.2,5.4,,10.8,33.8,6.2,,17.6,1.1,14.1,4.7
42,Will Barton,203115,7.4,22.3,24,,0.8,22.6,7,4,3.2,3.3,5.4
29,Giannis Antetokounmpo,203507,15.5,20.4,10,2.5,8.1,16.5,2.5,10.9,1.1,6,6.5
290,Tyler Johnson,204020,5,11.4,27.8,,,26.8,9.5,3.8,4.4,3.5,7.9
,,,8.91 ,14.17 ,12.63 ,7.30 ,13.51 ,13.59 ,3.90 ,8.76 ,3.13 ,6.68 ,7.14 
