,Player,ID,isolationPoss,isolationFreq,transitionPoss,transitionFreq,ball-handlerPoss,ball-handlerFreq,roll-manPoss,roll-manFreq,playtype-post-upPoss,playtype-post-upFreq,spot-upPoss,spot-upFreq,hand-offPoss,hand-offFreq,cutPoss,cutFreq,off-screenPoss,off-screenFreq,putbacksPoss,putbacksFreq,playtype-miscPoss,playtype-miscFreq
0,James Harden,201935,6.9,24.2,6.0,21.0,7.4,25.9,,,1.4,4.8,2.3,8.2,1.1,3.7,0.5,1.7,1.0,3.4,0.4,1.2,1.6,5.6
1,Stephen Curry,201939,2.5,10.0,5.1,20.1,6.7,26.2,0.2,0.7,,,2.3,9.1,1.2,4.7,1.5,6.0,3.6,14.2,0.4,1.6,1.9,7.3
2,Kevin Durant,201142,3.8,14.9,3.8,15.1,4.8,19.0,1.4,5.5,2.1,8.1,2.8,11.0,0.6,2.2,1.0,4.0,3.6,14.1,0.3,1.3,1.2,4.8
3,LeBron James,2544,4.7,19.1,4.8,19.5,5.3,21.6,0.9,3.6,2.6,10.6,1.6,6.7,0.5,1.9,1.4,5.7,0.5,2.1,0.9,3.6,1.4,5.8
4,Damian Lillard,203081,4.4,17.2,2.7,10.5,10.9,43.0,,,,,2.0,8.0,1.7,6.6,0.8,3.1,1.4,5.6,0.2,0.9,1.2,4.9
5,Russell Westbrook,201566,3.2,12.5,5.9,23.3,9.0,35.4,,,2.4,9.3,1.8,6.9,0.6,2.3,0.5,1.9,0.3,1.0,0.8,3.0,1.1,4.4
6,Paul George,202331,3.3,14.0,3.9,16.2,5.0,21.2,0.3,1.1,0.8,3.4,2.7,11.2,1.3,5.3,0.9,3.7,3.8,16.0,0.5,2.0,1.4,5.9
7,DeMar DeRozan,201942,3.8,16.1,1.9,7.9,7.6,32.4,,,2.0,8.5,2.5,10.6,1.0,4.2,0.4,1.6,3.2,13.6,0.3,1.2,0.9,3.8
8,Isaiah Thomas,202738,1.8,8.0,5.1,22.8,6.9,31.0,,,,,3.0,13.3,2.1,9.3,0.4,1.7,1.9,8.6,0.2,0.9,1.0,4.4
9,Klay Thompson,202691,1.0,5.0,3.5,17.5,1.4,7.1,0.2,0.9,0.7,3.7,3.4,17.0,0.7,3.6,1.7,8.4,6.3,31.0,0.2,1.2,0.9,4.5
10,DeMarcus Cousins,202326,3.2,11.1,3.6,12.6,0.3,1.2,4.3,14.8,5.6,19.4,4.7,16.4,0.7,2.5,1.5,5.2,0.7,2.5,2.0,7.0,2.1,7.2
11,Kemba Walker,202689,1.6,7.7,2.9,13.8,9.7,46.7,,,,,2.9,14.0,1.2,6.0,0.4,2.0,0.7,3.3,0.3,1.3,1.1,5.3
12,Andrew Wiggins,203952,2.2,10.2,2.5,11.7,4.0,18.9,0.6,2.8,2.6,12.0,2.1,9.9,1.4,6.7,1.2,5.5,3.1,14.5,1.0,4.4,0.7,3.3
13,CJ McCollum,203468,2.4,11.4,2.8,13.1,8.0,37.4,,,,,3.2,14.8,1.7,7.8,0.5,2.2,1.7,8.0,0.3,1.2,0.8,3.7
14,Kyle Lowry,200768,2.1,9.8,3.6,16.8,7.6,35.7,0.2,0.7,0.4,1.8,3.3,15.7,1.2,5.5,0.1,0.7,1.3,6.1,0.2,1.2,1.3,6.0
15,Gordon Hayward,202330,2.2,11.0,2.7,13.6,4.9,24.4,0.2,0.9,0.4,2.1,3.9,19.5,2.3,11.5,0.8,3.9,1.5,7.5,0.4,2.0,0.8,3.7
16,Carmelo Anthony,2546,5.5,23.7,1.9,8.1,3.0,13.1,0.4,1.7,5.1,22.2,2.6,11.5,0.6,2.6,0.7,3.1,0.9,4.0,1.0,4.2,1.3,5.7
17,John Wall,202322,2.6,11.2,5.5,23.5,9.4,40.2,,,0.2,0.9,3.0,12.8,0.6,2.5,0.2,0.9,0.4,1.6,0.2,1.0,1.2,5.4
18,Kawhi Leonard,202695,2.2,11.8,2.4,12.8,2.5,13.7,0.2,1.1,2.4,13.0,4.3,23.5,1.2,6.4,0.8,4.3,1.2,6.6,0.6,3.5,0.6,3.5
19,Karl-Anthony Towns,1626157,1.2,6.6,1.3,7.3,,,4.4,24.8,3.1,17.4,2.0,11.1,,,1.4,8.0,1.0,5.6,2.0,11.5,1.3,7.3
20,Brook Lopez,201572,1.4,6.6,0.8,3.7,,,4.4,21.2,6.1,29.8,1.8,8.5,0.2,0.7,2.8,13.7,0.3,1.3,2.0,9.9,1.0,4.7
21,Reggie Jackson,202704,2.3,11.4,2.7,13.2,11.3,55.9,,,,,1.7,8.2,0.4,2.1,0.2,1.1,0.3,1.2,0.3,1.3,1.1,5.5
22,Anthony Davis,203076,2.0,8.7,1.9,8.1,,,5.8,24.7,4.3,18.4,3.0,13.0,0.2,1.0,1.8,7.5,1.5,6.5,1.5,6.4,1.3,5.5
23,Chris Paul,101108,2.9,15.2,2.5,12.9,10.0,51.9,,,0.3,1.4,1.2,6.2,0.6,3.3,,,0.2,0.9,0.2,1.0,1.3,6.5
24,Khris Middleton,203114,2.0,11.1,2.5,13.6,3.3,18.0,0.3,1.7,1.5,8.1,3.0,16.4,1.9,10.3,0.4,2.1,2.2,11.8,0.2,1.3,1.0,5.5
25,Dwyane Wade,2548,2.3,11.0,2.7,12.8,7.4,34.8,,,2.2,10.5,1.5,7.3,0.9,4.4,1.1,5.0,1.2,5.6,0.8,3.8,1.0,4.7
26,Jimmy Butler,202710,2.5,12.3,2.5,12.1,6.5,31.7,0.2,0.9,1.2,5.7,2.2,10.6,1.1,5.5,1.9,9.2,1.0,4.9,0.6,2.7,0.9,4.4
27,Paul Millsap,200794,1.4,7.9,1.9,10.9,0.3,1.5,3.2,18.0,2.8,16.0,3.4,19.4,0.2,0.9,2.1,11.7,0.6,3.2,1.0,5.8,0.9,4.8
28,Dirk Nowitzki,1717,0.8,4.6,0.8,4.6,,,3.3,18.6,5.2,29.6,3.9,22.2,0.1,0.8,0.6,3.2,1.5,8.6,0.5,2.7,0.8,4.6
29,Giannis Antetokounmpo,203507,2.7,15.5,3.6,20.4,1.8,10.0,0.4,2.5,1.4,8.1,2.9,16.5,0.4,2.5,1.9,10.9,0.2,1.1,1.1,6.0,1.1,6.5
30,LaMarcus Aldridge,200746,0.2,1.2,0.8,4.8,,,3.5,20.2,5.8,33.7,2.7,15.6,,,1.6,9.0,0.5,2.7,1.7,9.8,0.4,2.4
31,Andre Drummond,203083,0.7,3.6,1.1,6.0,,,2.4,13.2,5.0,27.5,0.3,1.5,,,2.3,12.4,,,4.2,23.3,2.3,12.6
32,Al Horford,201143,0.5,3.3,1.5,10.0,,,3.7,24.7,2.1,13.9,3.4,23.1,,,1.6,10.7,0.5,3.5,0.8,5.5,0.7,4.7
33,Jeff Teague,201952,2.4,13.9,2.9,17.4,6.9,40.6,,,0.2,1.0,1.7,10.3,0.9,5.5,0.3,1.6,0.6,3.3,,,1.0,5.8
34,Kevin Love,201567,0.5,3.3,1.5,9.0,,,2.5,15.3,4.0,24.6,4.3,26.3,0.2,1.5,0.7,4.3,0.8,4.6,0.9,5.6,0.9,5.2
35,JJ Redick,200755,0.3,2.5,1.7,12.2,0.8,5.5,,,,,2.3,16.6,2.6,18.5,0.2,1.4,5.4,38.7,,,0.5,3.6
36,Jordan Clarkson,203903,1.7,10.0,2.6,15.4,6.0,36.0,,,0.1,0.8,2.3,13.6,1.0,5.9,0.9,5.4,1.0,5.7,0.5,3.3,0.7,3.9
37,Evan Fournier,203095,0.7,5.1,2.4,16.0,3.2,21.8,,,,,3.7,24.8,1.3,8.6,0.7,4.5,1.9,12.6,0.2,1.5,0.6,4.4
38,Greg Monroe,202328,0.8,5.2,0.8,5.4,,,1.6,10.8,5.2,33.8,0.9,6.2,,,2.7,17.6,0.2,1.1,2.2,14.1,0.7,4.7
39,Rudy Gay,200752,2.8,15.4,3.3,18.3,1.3,7.0,0.9,4.9,1.9,10.5,3.5,19.5,0.4,2.2,1.1,6.0,1.1,5.9,1.1,6.4,0.7,3.8
40,Pau Gasol,2200,1.0,5.8,0.9,5.0,,,3.8,21.2,3.7,20.7,3.6,20.2,,,1.3,7.2,0.3,1.7,1.6,8.7,1.6,8.9
41,Nikola Vucevic,202696,1.4,7.2,1.0,5.1,0.2,0.9,3.5,18.4,5.4,28.3,2.5,13.4,0.2,0.9,1.8,9.6,0.3,1.5,1.8,9.5,1.0,5.2
42,Will Barton,203115,1.1,7.4,3.3,22.3,3.6,24.0,,,0.1,0.8,3.4,22.6,1.0,7.0,0.6,4.0,0.5,3.2,0.5,3.3,0.8,5.4
43,Kobe Bryant,977,4.0,19.9,2.0,9.6,4.3,21.0,0.2,0.9,2.8,13.6,2.6,12.7,1.4,6.9,0.4,1.8,1.5,7.2,0.4,1.9,0.9,4.4
44,Avery Bradley,202340,0.6,3.9,3.1,20.0,2.1,13.5,,,,,3.2,20.3,2.7,17.2,0.7,4.6,2.3,14.6,0.3,1.9,0.6,3.9
45,Victor Oladipo,203506,1.2,7.3,3.0,17.9,5.5,32.5,,,,,3.0,17.5,1.5,8.6,0.8,4.6,0.8,4.6,0.3,1.9,0.8,4.7
46,Zach LaVine,203897,1.2,8.2,3.1,21.5,4.2,29.1,,,,,2.0,14.1,1.6,10.7,0.3,1.9,1.1,7.3,0.2,1.4,0.8,5.4
47,Rodney Hood,203918,1.3,8.7,1.1,7.8,4.3,29.3,,,0.4,2.4,4.2,28.5,1.6,11.1,0.3,2.0,0.6,4.1,0.2,1.6,0.6,4.0
48,Draymond Green,203110,0.8,5.0,2.8,18.5,0.8,5.0,1.9,12.6,1.3,8.7,3.0,19.7,0.2,1.3,1.5,9.7,0.3,2.3,1.1,7.1,1.5,10.1
49,Marcus Morris Sr.,202694,2.2,14.6,1.6,11.0,1.8,12.3,0.6,4.3,2.1,13.8,3.4,22.7,0.5,3.3,0.3,2.0,0.7,4.8,0.7,4.3,1.0,6.9
50,Ryan Anderson,201583,1.6,9.2,1.4,8.3,0.4,2.3,2.5,15.1,3.0,17.5,3.4,20.1,0.2,1.3,0.4,2.6,1.7,10.2,1.6,9.4,0.6,3.8
51,Monta Ellis,101145,1.2,7.3,2.8,17.5,6.2,38.3,,,,,2.4,14.7,1.1,6.7,0.3,1.9,0.9,5.6,0.2,1.4,0.9,5.5
52,Jamal Crawford,2037,3.3,22.4,1.7,11.8,4.4,29.6,,,,,2.7,18.0,1.3,8.8,,,0.5,3.3,0.1,0.9,0.6,4.1
53,Tobias Harris,202699,1.0,7.5,2.4,17.4,2.6,16.9,1.7,10.8,1.2,8.4,3.0,21.5,0.4,3.1,1.3,9.6,0.7,5.0,1.1,7.8,0.7,4.9
54,Kentavious Caldwell-Pope,203484,0.8,5.0,3.4,22.2,3.4,22.4,,,,,3.9,25.5,0.8,5.2,0.5,3.2,1.2,8.1,0.5,3.4,0.7,4.7
55,Thaddeus Young,201152,1.3,8.4,2.6,16.1,0.3,2.1,2.9,18.1,2.6,15.9,1.5,9.3,,,2.6,15.9,0.2,1.2,1.4,8.8,0.6,3.8
56,Jrue Holiday,201950,1.6,8.8,1.9,10.5,9.5,51.7,,,0.3,1.4,1.6,8.6,1.0,5.6,0.4,2.0,0.7,3.8,0.2,1.3,1.1,6.2
57,Derrick Rose,201565,1.9,9.7,2.9,14.6,8.5,43.5,,,,,3.3,16.7,0.7,3.6,0.7,3.5,0.3,1.3,0.4,2.2,0.9,4.4
58,Jabari Parker,203953,1.3,9.1,2.7,18.2,0.9,6.0,0.7,4.9,1.0,7.1,3.3,22.5,0.3,1.8,2.5,17.2,0.4,2.4,0.9,6.3,0.7,4.5
59,D'Angelo Russell,1626156,0.9,5.9,2.4,15.8,5.9,38.3,,,1.0,6.1,2.4,15.5,0.7,4.5,0.6,3.9,0.5,2.9,0.3,2.0,0.8,5.0
60,Devin Booker,1626164,0.9,6.2,2.8,18.6,4.0,26.8,,,0.5,3.3,1.7,11.4,1.1,7.2,0.6,4.1,2.0,13.3,0.2,1.1,1.2,8.1
61,Nicolas Batum,201587,1.5,9.3,1.7,10.6,3.7,22.7,,,0.8,5.0,2.2,13.3,2.0,12.1,0.4,2.4,2.6,16.0,0.4,2.2,1.0,5.9
62,Kyrie Irving,202681,2.9,14.3,2.6,13.1,8.8,43.6,,,0.4,1.9,2.2,10.7,0.9,4.3,0.3,1.3,0.9,4.3,0.3,1.4,1.0,4.9
63,Hassan Whiteside,202355,0.3,2.1,0.5,4.0,,,2.7,20.8,2.9,21.9,0.3,2.0,,,2.4,18.1,,,2.7,20.5,1.4,10.3
64,Zach Randolph,2216,2.6,15.8,0.5,3.1,,,1.6,9.7,5.9,36.2,1.6,10.0,,,1.0,6.2,0.2,1.3,1.9,11.7,0.9,5.4
65,Enes Freedom,202683,0.2,1.5,1.0,8.8,,,2.3,20.2,2.2,19.0,0.6,5.1,,,1.9,16.7,,,2.5,21.7,0.7,6.5
66,Jae Crowder,203109,0.3,2.1,2.8,20.7,1.0,7.3,0.5,3.8,0.5,3.5,4.5,33.0,0.9,6.5,0.8,5.6,1.0,7.4,0.5,3.5,0.9,6.6
67,Danilo Gallinari,201568,3.5,18.9,1.8,9.9,2.2,12.0,0.7,4.0,1.5,8.5,3.9,21.3,1.2,6.6,1.0,5.4,0.9,4.7,0.6,3.5,1.0,5.3
68,Darren Collison,201954,1.5,11.1,4.1,30.1,3.4,25.3,,,,,2.5,18.4,0.5,3.4,0.4,3.2,,,0.1,1.0,0.9,6.7
69,Kristaps Porzingis,204001,0.9,6.1,1.1,7.2,0.2,1.2,2.1,13.7,2.3,15.0,3.8,24.8,,,1.7,10.7,1.2,7.5,1.1,7.2,0.9,5.8
70,Lou Williams,101150,1.4,9.3,2.1,14.2,6.4,43.7,,,,,1.5,10.3,1.1,7.9,0.2,1.5,1.3,8.8,0.2,1.5,0.3,2.4
71,Trevor Ariza,2772,0.5,3.8,3.1,24.0,0.9,7.1,0.2,1.3,,,5.2,40.3,0.5,3.9,0.4,3.5,1.1,8.4,0.4,3.1,0.6,4.3
72,Brandon Knight,202688,2.3,10.4,2.8,12.9,9.4,42.7,,,,,3.1,14.0,1.6,7.4,0.5,2.4,1.1,5.1,0.2,1.0,0.9,3.9
73,Goran Dragic,201609,1.0,6.2,3.3,20.6,6.0,37.9,,,,,2.5,15.8,0.9,5.8,0.4,2.7,0.6,3.8,0.4,2.3,0.7,4.6
74,Derrick Favors,202324,0.4,2.5,0.6,3.6,,,3.6,22.1,3.7,22.6,1.8,10.7,,,3.7,22.7,,,1.4,8.6,1.0,6.0
75,Marcin Gortat,101162,0.1,1.1,1.0,7.6,,,3.0,23.1,2.0,15.6,0.2,1.6,,,4.1,31.4,,,1.4,10.7,1.1,8.2
76,Chris Bosh,2547,2.4,13.4,0.8,4.6,0.2,1.1,4.4,24.4,1.6,8.6,4.9,27.0,0.2,1.2,0.8,4.6,1.4,7.5,0.5,3.0,0.8,4.7
77,Joe Johnson,2207,1.9,14.3,1.5,10.9,3.2,23.9,,,1.6,12.2,3.2,23.6,0.3,1.9,,,0.8,6.1,0.2,1.4,0.5,3.6
78,Serge Ibaka,201586,0.2,1.7,1.6,12.4,,,3.6,26.9,0.4,3.0,3.9,29.8,,,1.3,10.0,0.3,2.0,0.9,6.9,0.9,6.7
79,DeAndre Jordan,201599,,,0.9,7.5,,,2.4,20.3,0.8,7.2,,,,,2.4,20.8,,,2.0,17.4,2.9,25.4
80,Wesley Matthews,202083,0.7,5.8,1.4,10.9,1.2,9.2,0.2,1.3,1.3,9.9,4.6,36.2,0.8,6.6,0.3,2.7,1.5,11.9,0.1,1.1,0.6,4.4
81,Dwight Howard,2730,,,0.9,6.3,,,1.3,9.3,4.2,30.5,,,,,3.0,22.2,,,2.0,14.8,2.2,15.9
82,Ish Smith,202397,1.9,10.3,3.6,19.7,8.1,44.2,,,,,2.5,13.6,0.8,4.1,,,0.2,1.3,0.2,1.3,0.8,4.3
83,Mirza Teletovic,203141,0.3,2.9,1.6,13.7,0.2,1.3,1.1,8.9,1.6,13.5,3.8,32.5,0.6,4.7,0.2,2.0,1.4,12.1,0.5,4.0,0.5,4.4
84,Bradley Beal,203078,1.1,6.0,3.1,17.5,5.2,29.5,,,,,2.3,13.2,1.3,7.2,0.6,3.4,2.7,15.2,0.3,1.4,1.0,5.5
85,JR Smith,2747,1.6,12.8,1.9,15.3,1.0,7.9,,,0.2,1.3,4.1,33.7,0.6,4.6,0.2,1.8,2.0,16.6,,,0.6,4.7
86,Marvin Williams,101107,,,0.9,8.1,0.2,2.1,1.6,14.8,0.5,4.3,4.3,39.5,0.4,3.7,0.7,6.4,0.5,4.6,1.0,9.0,0.8,7.1
87,Jeff Green,201145,1.2,9.6,1.8,14.1,2.4,18.6,0.9,7.5,1.1,8.4,2.3,17.9,0.5,4.1,1.0,7.7,0.8,5.8,0.7,5.1,0.7,5.5
88,Gary Harris,203914,0.5,3.9,2.6,21.4,1.3,10.4,,,,,3.2,26.5,1.8,14.7,1.2,9.8,0.9,7.7,0.2,2.0,0.4,3.5
89,Jahlil Okafor,1626143,3.5,19.0,1.2,6.6,,,2.4,13.1,5.9,32.0,0.8,4.6,,,2.1,11.1,,,1.6,8.5,0.7,4.0
90,Julius Randle,203944,3.0,21.8,2.1,15.8,0.3,2.2,1.3,9.4,1.6,11.9,1.5,11.2,,,1.2,8.7,0.3,2.2,1.4,10.4,0.8,5.8
91,Deron Williams,101114,1.7,11.0,1.6,10.5,4.3,27.6,,,1.3,8.6,2.6,16.7,0.9,5.8,0.3,1.8,1.8,11.5,,,0.9,6.0
92,Jeremy Lin,202391,1.0,7.4,1.7,13.2,4.3,32.7,,,,,2.8,21.9,0.9,7.3,0.6,4.2,0.9,7.1,,,0.7,5.5
