type,component,rank,mean,var,mean_all,var_group
transitionFreq,6,1,19.0,14.44,10.923469387755102,21.59075942894164
transitionFreq,4,2,15.3,9.810000000000004,10.923469387755102,21.59075942894164
ball-handlerFreq,6,2,15.533333333333331,37.32333333333333,10.6265306122449,53.118622240733046
ball-handlerFreq,4,6,7.900000000000001,15.610000000000005,10.6265306122449,53.118622240733046
roll-manFreq,4,6,1.5,6.75,7.512244897959184,35.522841547503354
spot-upFreq,6,2,26.9,54.75999999999999,18.437755102040818,76.29888576519045
spot-upFreq,8,6,15.5,72.51999999999998,18.437755102040818,76.29888576519045
hand-offFreq,4,2,5.1000000000000005,4.529999999999999,3.5989795918367347,8.369406936924431
cutFreq,2,6,2.8666666666666667,11.453333333333331,7.059183673469389,18.61355939654774
off-screenFreq,6,2,13.0,18.730000000000004,4.834693877551021,21.564990513212088
off-screenFreq,9,5,3.333333333333333,12.333333333333334,4.834693877551021,21.564990513212088
off-screenFreq,1,6,2.4,17.28,4.834693877551021,21.564990513212088
putbacksFreq,6,5,1.7666666666666666,2.9033333333333333,4.741836734693877,9.636167545929936
putbacksFreq,4,6,1.5,6.75,4.741836734693877,9.636167545929936
playtype-miscFreq,8,1,7.366666666666667,2.2533333333333347,5.342857142857143,3.841170068027212
playtype-miscFreq,6,5,4.933333333333334,1.3633333333333335,5.342857142857143,3.841170068027212
