,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
1,4.975,2.4,5.25,6.2749999999999995,7.9,3.175,1.725,5.15,1.8,0.475,5.6
2,2.6,13.8,8.5,6.2,16.425,20.975,6.375,3.3,8.75,1.475,2.975
3,1.25,6.225,8.925,5.3500000000000005,4.425000000000001,23.0,2.375,8.975,1.1,3.575,6.0
4,3.7,13.049999999999999,5.925000000000001,3.45,11.85,25.325,3.825,9.274999999999999,10.2,4.825,6.925000000000001
5,3.325,5.9,0.375,9.7,6.15,5.925,0.225,8.675,0.8,4.3,4.325
6,4.1,18.6,15.875,2.7,2.1,25.55,9.325,4.35,11.0,3.275,4.925000000000001
7,4.275,12.725000000000001,13.7,4.25,7.325,10.924999999999999,2.65,4.6,3.8,3.725,5.85
8,4.05,6.425,5.675,11.525,8.525,11.625,3.025,7.0,4.625,6.25,5.525
9,7.425,14.525,16.6,0.0,0.2,20.125,5.125,1.975,3.3,1.775,3.4000000000000004
10,4.325,10.85,30.075000000000003,0.0,0.25,11.825,6.075,0.825,3.9749999999999996,0.0,3.0
all_mean,4.494897959183674,10.923469387755102,10.626530612244899,7.512244897959184,7.990816326530613,18.437755102040818,3.5989795918367347,7.059183673469389,4.834693877551021,4.741836734693877,5.342857142857143
