type,component,rank,mean,var,mean_all,var_group
ball-handlerFreq,5,1,0.25,0.375,10.6265306122449,56.65446917950853
roll-manFreq,10,1,0.15,0.135,7.512244897959184,14.986326241380908
playtype-post-upFreq,10,1,0.7833333333333333,2.201666666666667,7.990816326530613,22.193117219676985
playtype-post-upFreq,6,2,2.9500000000000006,20.967,7.990816326530613,22.193117219676985
hand-offFreq,5,1,0.15,0.135,3.5989795918367347,3.774364986811052
cutFreq,10,1,1.95,10.639,7.059183673469389,11.95232583645703
cutFreq,9,2,2.6833333333333336,11.049666666666663,7.059183673469389,11.95232583645703
cutFreq,2,4,4.366666666666666,10.066666666666666,7.059183673469389,11.95232583645703
off-screenFreq,5,1,0.8333333333333334,1.8626666666666671,4.834693877551021,6.061233710491001
off-screenFreq,3,2,1.3666666666666665,4.518666666666666,4.834693877551021,6.061233710491001
putbacksFreq,10,1,0.1999999999999999,0.24,4.741836734693877,7.353867092415197
putbacksFreq,1,2,1.05,3.271000000000001,4.741836734693877,7.353867092415197
putbacksFreq,9,3,1.7166666666666668,2.389666666666667,4.741836734693877,7.353867092415197
