Type,Player,isolationFreq,transitionFreq,ball-handlerFreq,roll-manFreq,playtype-post-upFreq,spot-upFreq,hand-offFreq,cutFreq,off-screenFreq,putbacksFreq,playtype-miscFreq
1,Kobe Bryant,19.9,9.6,21.0,0.9,13.6,12.7,6.9,1.8,7.2,1.9,4.4
1,Steve Novak,,,,,,,,,,,
1,Pat Connaughton,,,,,,,,,,,
1,Kendrick Perkins,,,,24.2,18.0,,,18.8,,,18.0
1,Brandon Jennings,8.5,24.9,35.9,,,23.6,7.7,,,,6.1
1,Justin Anderson,5.3,17.6,14.1,,,32.2,6.6,4.4,7.5,4.4,5.7
1,Lorenzo Brown,,,,,,,,,,,
1,James Harden,24.2,21.0,25.9,,4.8,8.2,3.7,1.7,3.4,1.2,5.6
1,Maurice Harkless,3.7,16.7,6.2,2.1,4.4,28.1,3.5,12.5,4.6,12.9,5.4
1,CJ McCollum,11.4,13.1,37.4,,,14.8,7.8,2.2,8.0,1.2,3.7
2,Sean Kilpatrick,3.6,21.5,19.2,,,31.1,3.6,6.6,8.3,,3.6
2,Nikola Pekovic,,,,15.9,52.2,,,,,,
2,Mirza Teletovic,2.9,13.7,1.3,8.9,13.5,32.5,4.7,2.0,12.1,4.0,4.4
2,Avery Bradley,3.9,20.0,13.5,,,20.3,17.2,4.6,14.6,1.9,3.9
2,Jon Leuer,7.9,10.6,,23.5,7.5,23.6,1.9,8.9,,8.4,6.3
2,Vince Carter,4.9,9.5,16.3,,8.3,28.3,7.8,4.1,8.0,4.9,6.8
2,Patrick Patterson,,10.3,,14.2,2.4,52.8,,2.6,,8.6,7.0
2,Kyle Korver,,13.9,6.8,,,24.0,13.2,3.5,31.4,,5.8
2,Tiago Splitter,,5.0,,15.9,13.4,,,38.3,,14.9,7.0
2,Jamal Crawford,22.4,11.8,29.6,,,18.0,8.8,,3.3,0.9,4.1
3,Anderson Varejao,,,,17.6,9.8,21.6,,23.5,,10.8,10.8
3,Rasual Butler,,,,,,,,,,,
3,Tyler Johnson,5.0,11.4,27.8,,,26.8,9.5,3.8,4.4,3.5,7.9
3,Tayshaun Prince,,13.5,7.9,3.8,7.9,43.6,,8.6,,,5.3
3,Cody Zeller,2.0,11.2,,28.8,2.6,11.7,,19.8,3.8,10.4,8.7
3,JaMychal Green,3.3,8.7,,14.8,13.9,18.0,,15.9,,18.0,6.6
3,Donatas Motiejunas,,9.5,,18.2,21.9,21.2,,13.1,,6.2,5.8
3,Stephen Curry,10.0,20.1,26.2,0.7,,9.1,4.7,6.0,14.2,1.6,7.3
3,Kawhi Leonard,11.8,12.8,13.7,1.1,13.0,23.5,6.4,4.3,6.6,3.5,3.5
4,Dante Cunningham,,18.9,3.9,4.5,,43.6,2.8,11.6,2.2,4.5,5.9
